g = [('a', 6), ('b', -11), ('a', -4), ('b', 14), ('a', -7), ('b', -11), ('a', 10), ('b', 3), ('a', -7), ('b', 12), ('a', -8), ('b', 3), ('a', 13), ('b', 4), ('a', 12)] n=15, fixed words = 10941075
g = [('b', -6), ('a', 10), ('b', -3), ('a', -12), ('b', 15), ('a', -7), ('b', -10), ('a', 4), ('b', -12), ('a', -5), ('b', -1), ('a', -6), ('b', -10), ('a', -14), ('b', 1)] n=15, fixed words = 11058039
g = [('a', 15), ('b', -13), ('a', -5), ('b', 7), ('a', -2), ('b', 6), ('a', -5), ('b', 13), ('a', -7), ('b', -9), ('a', 4), ('b', -2), ('a', -15), ('b', 14), ('a', 3)] n=15, fixed words = 11039085
g = [('a', 2), ('b', -7), ('a', -8), ('b', 12), ('a', 8), ('b', 10), ('a', 10), ('b', -6), ('a', -1), ('b', -12), ('a', 6), ('b', 1), ('a', -5), ('b', -4), ('a', 14)] n=15, fixed words = 11008791
g = [('b', -7), ('a', -15), ('b', -8), ('a', 13), ('b', -8), ('a', 9), ('b', -9), ('a', -11), ('b', 10), ('a', -14), ('b', 10), ('a', 7), ('b', 9), ('a', 7), ('b', 15)] n=15, fixed words = 11008062
g = [('a', 3), ('b', 7), ('a', -3), ('b', -4), ('a', -10), ('b', 7), ('a', 5), ('b', 11), ('a', 10), ('b', -13), ('a', 10), ('b', -15), ('a', 11), ('b', 13), ('a', -10)] n=15, fixed words = 10990080
g = [('b', -14), ('a', -12), ('b', 3), ('a', -6), ('b', 13), ('a', -8), ('b', 2), ('a', -13), ('b', -3), ('a', -15), ('b', -5), ('a', 13), ('b', -12), ('a', 14), ('b', 13)] n=15, fixed words = 13227543
g = [('a', 2), ('b', 3), ('a', -1), ('b', 3), ('a', -13), ('b', 10), ('a', 2), ('b', 13), ('a', 7), ('b', -1), ('a', -15), ('b', -12), ('a', 8), ('b', 14), ('a', 2)] n=15, fixed words = 10941075
g = [('b', 6), ('a', -15), ('b', 14), ('a', 10), ('b', -9), ('a', -13), ('b', -12), ('a', 6), ('b', -12), ('a', 11), ('b', -7), ('a', -12), ('b', 7), ('a', -13), ('b', -8)] n=15, fixed words = 11039571
g = [('a', -1), ('b', -12), ('a', -9), ('b', 12), ('a', -12), ('b', -8), ('a', -13), ('b', -7), ('a', 12), ('b', -1), ('a', 13), ('b', -10), ('a', -4), ('b', -15), ('a', 6)] n=15, fixed words = 9568503
g = [('a', -6), ('b', -1), ('a', 9), ('b', 14), ('a', -5), ('b', -3), ('a', 4), ('b', 13), ('a', 5), ('b', -7), ('a', -3), ('b', 11), ('a', 7), ('b', -7), ('a', -12)] n=15, fixed words = 9568503
g = [('b', -12), ('a', -4), ('b', -8), ('a', 5), ('b', 11), ('a', -11), ('b', -13), ('a', -3), ('b', 8), ('a', -14), ('b', -2), ('a', 12), ('b', 6), ('a', -6), ('b', -8)] n=15, fixed words = 13081338
g = [('a', 15), ('b', 9), ('a', 15), ('b', -2), ('a', -10), ('b', -2), ('a', 1), ('b', -3), ('a', -13), ('b', -4), ('a', 11), ('b', 10), ('a', 12), ('b', -7), ('a', 11)] n=15, fixed words = 11039328
g = [('b', 15), ('a', 15), ('b', -4), ('a', 4), ('b', 3), ('a', 12), ('b', -5), ('a', 1), ('b', -14), ('a', 7), ('b', -1), ('a', 2), ('b', 3), ('a', -15), ('b', 12)] n=15, fixed words = 11459232
g = [('a', -5), ('b', 1), ('a', 7), ('b', -9), ('a', 13), ('b', 4), ('a', 11), ('b', -4), ('a', -2), ('b', -12), ('a', 12), ('b', -3), ('a', 1), ('b', -15), ('a', 1)] n=15, fixed words = 9568503
g = [('b', 4), ('a', 5), ('b', 2), ('a', 11), ('b', -11), ('a', -13), ('b', 2), ('a', 6), ('b', 10), ('a', -10), ('b', -13), ('a', -13), ('b', 4), ('a', -13), ('b', -12)] n=15, fixed words = 11549871
g = [('b', 12), ('a', -9), ('b', 1), ('a', 11), ('b', -4), ('a', 14), ('b', -15), ('a', -8), ('b', -8), ('a', 5), ('b', -3), ('a', 15), ('b', 12), ('a', 1), ('b', 1)] n=15, fixed words = 9568503
g = [('b', 13), ('a', -13), ('b', -12), ('a', 12), ('b', -1), ('a', -13), ('b', -14), ('a', -12), ('b', 7), ('a', -12), ('b', 14), ('a', 5), ('b', 9), ('a', -6), ('b', -15)] n=15, fixed words = 10941075
g = [('b', -13), ('a', 12), ('b', 3), ('a', 15), ('b', 14), ('a', 11), ('b', -13), ('a', 5), ('b', -14), ('a', -12), ('b', 14), ('a', -12), ('b', 14), ('a', -14), ('b', -14)] n=15, fixed words = 11409984
g = [('a', 13), ('b', 5), ('a', 15), ('b', -6), ('a', -2), ('b', 13), ('a', -13), ('b', -15), ('a', -1), ('b', 2), ('a', -8), ('b', 9), ('a', 6), ('b', 1), ('a', 6)] n=15, fixed words = 11467332
g = [('a', -11), ('b', 7), ('a', 15), ('b', 5), ('a', -10), ('b', -11), ('a', 13), ('b', -12), ('a', 10), ('b', 7), ('a', -8), ('b', 5), ('a', 12), ('b', 8), ('a', 12)] n=15, fixed words = 13045455
g = [('b', -1), ('a', 7), ('b', -13), ('a', -1), ('b', -11), ('a', 10), ('b', 2), ('a', 9), ('b', 11), ('a', -2), ('b', 6), ('a', -3), ('b', 5), ('a', -6), ('b', -1)] n=15, fixed words = 9568503
g = [('a', 11), ('b', 1), ('a', 1), ('b', 5), ('a', -6), ('b', -11), ('a', 10), ('b', -3), ('a', -14), ('b', -1), ('a', 8), ('b', 11), ('a', -2), ('b', -15), ('a', 11)] n=15, fixed words = 9568503
g = [('a', 2), ('b', 14), ('a', -8), ('b', -8), ('a', 9), ('b', 11), ('a', -6), ('b', 4), ('a', -10), ('b', -9), ('a', -3), ('b', 10), ('a', 15), ('b', -5), ('a', 8)] n=15, fixed words = 9568503
g = [('a', 5), ('b', -1), ('a', 12), ('b', 3), ('a', 6), ('b', 4), ('a', -10), ('b', 10), ('a', 6), ('b', 9), ('a', 13), ('b', 14), ('a', -4), ('b', -12), ('a', 15)] n=15, fixed words = 11659464
g = [('a', -6), ('b', 1), ('a', -14), ('b', -15), ('a', -6), ('b', -4), ('a', -6), ('b', 7), ('a', 14), ('b', -3), ('a', 15), ('b', 10), ('a', -12), ('b', -11), ('a', -14)] n=15, fixed words = 11053422
g = [('b', 8), ('a', 3), ('b', 13), ('a', 5), ('b', 11), ('a', -4), ('b', 2), ('a', -3), ('b', 1), ('a', -4), ('b', 15), ('a', -1), ('b', 6), ('a', -1), ('b', 11)] n=15, fixed words = 9568503
g = [('a', -1), ('b', -14), ('a', -5), ('b', 4), ('a', -15), ('b', 9), ('a', -13), ('b', -13), ('a', -14), ('b', 8), ('a', -10), ('b', -8), ('a', 2), ('b', -3), ('a', -14)] n=15, fixed words = 9568503
g = [('b', 4), ('a', -2), ('b', 12), ('a', 15), ('b', -9), ('a', -3), ('b', -3), ('a', -12), ('b', -9), ('a', -13), ('b', 11), ('a', -7), ('b', -1), ('a', 3), ('b', -1)] n=15, fixed words = 9568503
