g = [('b', -2), ('a', 6), ('b', -1), ('a', 9), ('b', 5), ('a', -10), ('b', 4)] n=20, fixed words = 2388299769
g = [('a', -3), ('b', 10), ('a', -6), ('b', 3), ('a', 2), ('b', 3), ('a', -8)] n=20, fixed words = 2390576922
g = [('b', -5), ('a', -5), ('b', 9), ('a', -6), ('b', -4), ('a', -2), ('b', -3)] n=20, fixed words = 2374194456
g = [('b', -4), ('a', 3), ('b', -9), ('a', 7), ('b', 9), ('a', 7), ('b', -3)] n=20, fixed words = 1958440401
g = [('a', -8), ('b', 2), ('a', -1), ('b', -1), ('a', 4), ('b', 5), ('a', -1)] n=20, fixed words = 2843843094
g = [('a', 6), ('b', -3), ('a', 5), ('b', 9), ('a', -9), ('b', -2), ('a', 6)] n=20, fixed words = 1958440401
g = [('b', 7), ('a', 3), ('b', -6), ('a', 8), ('b', -7), ('a', -8), ('b', 9)] n=20, fixed words = 2846207241
g = [('b', -2), ('a', 6), ('b', 7), ('a', -8), ('b', 10), ('a', -3), ('b', -10)] n=20, fixed words = 1958440401
g = [('b', 3), ('a', -8), ('b', 10), ('a', -8), ('b', 3), ('a', 6), ('b', -3)] n=20, fixed words = 1958440401
g = [('b', -9), ('a', -2), ('b', 5), ('a', -3), ('b', -1), ('a', 4), ('b', -10)] n=20, fixed words = 2366705520
