g = [('b', -3), ('a', -7), ('b', -4), ('a', 7), ('b', -1), ('a', -1), ('b', -6)] n=50, fixed words = 171803146192394079920121
g = [('a', 6), ('b', 7), ('a', -9), ('b', -5), ('a', -8), ('b', 1), ('a', -7)] n=50, fixed words = 480012527346381103196169
g = [('a', -9), ('b', 3), ('a', -7), ('b', -7), ('a', -10), ('b', -6), ('a', 9)] n=50, fixed words = 171803146192394079920121
g = [('b', 1), ('a', -5), ('b', 10), ('a', 2), ('b', 7), ('a', 7), ('b', 6)] n=50, fixed words = 262610684191008930676419
g = [('b', 3), ('a', -5), ('b', 3), ('a', 6), ('b', 7), ('a', 9), ('b', -10)] n=50, fixed words = 277293090426295144282380
g = [('a', -1), ('b', 10), ('a', -8), ('b', -7), ('a', -7), ('b', 9), ('a', -3)] n=50, fixed words = 270347426989687423469493
g = [('b', -3), ('a', 9), ('b', 7), ('a', 4), ('b', 5), ('a', 1), ('b', -6)] n=50, fixed words = 270347426989687423469493
g = [('b', 2), ('a', -10), ('b', 3), ('a', 2), ('b', 6), ('a', 5), ('b', -1)] n=50, fixed words = 272703178366623624873573
g = [('a', 4), ('b', 5), ('a', 6), ('b', 4), ('a', 7), ('b', 10), ('a', 4)] n=50, fixed words = 277156818851483095003044
g = [('b', -3), ('a', 6), ('b', -7), ('a', -2), ('b', 5), ('a', 5), ('b', -8)] n=50, fixed words = 319913069299062008222403
g = [('a', 7), ('b', -7), ('a', -5), ('b', -5), ('a', -7), ('b', 8), ('a', -6)] n=50, fixed words = 171803146192394079920121
g = [('b', -7), ('a', -7), ('b', -1), ('a', 6), ('b', -5), ('a', 2), ('b', -5)] n=50, fixed words = 319802555232521684395272
g = [('a', 4), ('b', -10), ('a', -2), ('b', -4), ('a', 2), ('b', 6), ('a', 7)] n=50, fixed words = 171803146192394079920121
g = [('a', 6), ('b', 10), ('a', 3), ('b', 5), ('a', -4), ('b', 3), ('a', 5)] n=50, fixed words = 319802555232521684395272
g = [('b', 9), ('a', 6), ('b', -9), ('a', -3), ('b', -2), ('a', 3), ('b', 5)] n=50, fixed words = 447369122241772287023439
g = [('b', 9), ('a', -10), ('b', 5), ('a', -1), ('b', -6), ('a', 10), ('b', 9)] n=50, fixed words = 171803146192394079920121
g = [('a', 4), ('b', 2), ('a', -5), ('b', 7), ('a', -4), ('b', 5), ('a', 7)] n=50, fixed words = 171803146192394079920121
g = [('a', -1), ('b', -9), ('a', 9), ('b', -10), ('a', -4), ('b', 2), ('a', 9)] n=50, fixed words = 171803146192394079920121
g = [('a', -10), ('b', 5), ('a', 5), ('b', 7), ('a', 3), ('b', -4), ('a', -4)] n=50, fixed words = 275440118054466727189026
g = [('b', 8), ('a', -4), ('b', -2), ('a', -8), ('b', -9), ('a', -3), ('b', 10)] n=50, fixed words = 277293090426295144282380
g = [('b', 8), ('a', 4), ('b', -4), ('a', 7), ('b', -7), ('a', -2), ('b', -9)] n=50, fixed words = 452176119795238185798045
g = [('b', -10), ('a', 3), ('b', 6), ('a', 4), ('b', 2), ('a', -6), ('b', 1)] n=50, fixed words = 171803146192394079920121
