g = [('b', 3), ('a', 11), ('b', -1), ('a', -8), ('b', 15), ('a', 15), ('b', 2), ('a', 11), ('b', -1), ('a', 1), ('b', 3), ('a', 4), ('b', -14), ('a', 2), ('b', 13)] n=20, fixed words = 2517819093
g = [('a', -13), ('b', -2), ('a', 12), ('b', -15), ('a', 9), ('b', -4), ('a', -6), ('b', 10), ('a', 13), ('b', 12), ('a', 7), ('b', 10), ('a', -3), ('b', 13), ('a', -11)] n=20, fixed words = 2383070490
g = [('a', -8), ('b', -5), ('a', -1), ('b', -3), ('a', 15), ('b', 10), ('a', -15), ('b', -7), ('a', -8), ('b', -4), ('a', 15), ('b', 14), ('a', 3), ('b', -15), ('a', -9)] n=20, fixed words = 1958440401
g = [('b', 2), ('a', 4), ('b', 9), ('a', -3), ('b', -9), ('a', -4), ('b', -5), ('a', 12), ('b', 6), ('a', 6), ('b', -2), ('a', -3), ('b', -10), ('a', 13), ('b', 9)] n=20, fixed words = 2605427910
g = [('a', 10), ('b', -13), ('a', -15), ('b', 12), ('a', 2), ('b', 5), ('a', -6), ('b', 10), ('a', 5), ('b', -11), ('a', -15), ('b', 2), ('a', -15), ('b', 4), ('a', 12)] n=20, fixed words = 2512322028
g = [('b', -7), ('a', -2), ('b', -5), ('a', -8), ('b', -5), ('a', -13), ('b', 8), ('a', -5), ('b', 10), ('a', -11), ('b', -7), ('a', -12), ('b', -7), ('a', -11), ('b', 1)] n=20, fixed words = 2366630676
g = [('b', 10), ('a', -7), ('b', 4), ('a', 5), ('b', 12), ('a', -10), ('b', 6), ('a', -4), ('b', 11), ('a', 10), ('b', 11), ('a', -10), ('b', -10), ('a', -12), ('b', 8)] n=20, fixed words = 1958440401
g = [('a', -14), ('b', -8), ('a', -5), ('b', 11), ('a', 10), ('b', 10), ('a', -10), ('b', -7), ('a', 14), ('b', -8), ('a', -13), ('b', 7), ('a', -15), ('b', 12), ('a', -5)] n=20, fixed words = 1958440401
g = [('b', 7), ('a', -5), ('b', 1), ('a', 15), ('b', -13), ('a', -3), ('b', -4), ('a', -12), ('b', 8), ('a', -14), ('b', -9), ('a', -3), ('b', -1), ('a', 6), ('b', 3)] n=20, fixed words = 1958440401
g = [('b', 4), ('a', -10), ('b', 12), ('a', -8), ('b', 9), ('a', 11), ('b', -9), ('a', -3), ('b', 13), ('a', -11), ('b', 3), ('a', -9), ('b', 4), ('a', 2), ('b', 4)] n=20, fixed words = 1958440401
g = [('b', 8), ('a', 8), ('b', -3), ('a', -9), ('b', -2), ('a', 15), ('b', -14), ('a', -3), ('b', 12), ('a', 9), ('b', 1), ('a', 11), ('b', 9), ('a', -9), ('b', -3)] n=20, fixed words = 1958440401
g = [('b', -3), ('a', -11), ('b', 13), ('a', 5), ('b', -5), ('a', 11), ('b', 2), ('a', 7), ('b', 8), ('a', -12), ('b', 5), ('a', 14), ('b', -7), ('a', -10), ('b', 10)] n=20, fixed words = 1958440401
g = [('b', 7), ('a', -10), ('b', 2), ('a', 7), ('b', -11), ('a', 8), ('b', 1), ('a', 14), ('b', -1), ('a', 6), ('b', 11), ('a', 15), ('b', -10), ('a', -6), ('b', 11)] n=20, fixed words = 1958440401
g = [('b', 6), ('a', -9), ('b', -2), ('a', -9), ('b', -9), ('a', 11), ('b', -13), ('a', -5), ('b', 5), ('a', 5), ('b', 8), ('a', -11), ('b', 10), ('a', 5), ('b', 5)] n=20, fixed words = 1958440401
g = [('a', -10), ('b', -6), ('a', 2), ('b', -10), ('a', 3), ('b', 8), ('a', 1), ('b', -9), ('a', -1), ('b', 3), ('a', -6), ('b', -3), ('a', 13), ('b', 4), ('a', 9)] n=20, fixed words = 1958440401
g = [('b', -3), ('a', -3), ('b', 2), ('a', 5), ('b', -5), ('a', -2), ('b', -2), ('a', 11), ('b', 9), ('a', -7), ('b', 6), ('a', 12), ('b', 2), ('a', 11), ('b', 12)] n=20, fixed words = 3045741912
g = [('b', -9), ('a', -10), ('b', -12), ('a', -13), ('b', -12), ('a', 14), ('b', -13), ('a', -12), ('b', 3), ('a', -1), ('b', 12), ('a', -1), ('b', -13), ('a', -3), ('b', -8)] n=20, fixed words = 1958440401
g = [('a', -4), ('b', 7), ('a', 11), ('b', -8), ('a', -8), ('b', 2), ('a', -7), ('b', 1), ('a', -9), ('b', -4), ('a', -14), ('b', -14), ('a', -10), ('b', 14), ('a', -6)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', 1), ('a', 2), ('b', -8), ('a', -5), ('b', 14), ('a', 2), ('b', 3), ('a', 2), ('b', 5), ('a', 2), ('b', 10), ('a', 10), ('b', -8), ('a', -8)] n=20, fixed words = 1958440401
g = [('b', -11), ('a', -13), ('b', 6), ('a', 10), ('b', -9), ('a', 13), ('b', -14), ('a', -15), ('b', 6), ('a', 9), ('b', -3), ('a', -11), ('b', -12), ('a', 14), ('b', 3)] n=20, fixed words = 1958440401
g = [('a', -14), ('b', 8), ('a', -7), ('b', -14), ('a', -9), ('b', 6), ('a', -8), ('b', 14), ('a', 5), ('b', -7), ('a', -15), ('b', 12), ('a', -9), ('b', -1), ('a', -5)] n=20, fixed words = 2534631993
