g = [('a', 9), ('b', -10), ('a', 6), ('b', 7), ('a', 9), ('b', -7), ('a', 3)] n=15, fixed words = 11703609
g = [('a', 4), ('b', -4), ('a', -4), ('b', 1), ('a', 6), ('b', -9), ('a', 10)] n=15, fixed words = 11008791
g = [('a', 7), ('b', -6), ('a', 2), ('b', -2), ('a', -5), ('b', 5), ('a', -9)] n=15, fixed words = 11076264
g = [('b', -5), ('a', 3), ('b', 6), ('a', -9), ('b', 5), ('a', 2), ('b', -5)] n=15, fixed words = 9568503
g = [('a', -6), ('b', 9), ('a', -6), ('b', 9), ('a', 3), ('b', 5), ('a', -5)] n=15, fixed words = 9568503
g = [('b', -5), ('a', -3), ('b', 6), ('a', 5), ('b', -2), ('a', -4), ('b', -8)] n=15, fixed words = 11478510
g = [('b', 7), ('a', -4), ('b', 9), ('a', 6), ('b', -5), ('a', -5), ('b', 10)] n=15, fixed words = 12562371
g = [('a', 3), ('b', 3), ('a', -9), ('b', 6), ('a', 7), ('b', -1), ('a', 8)] n=15, fixed words = 11558538
g = [('a', -7), ('b', -1), ('a', -10), ('b', 5), ('a', -9), ('b', -9), ('a', -4)] n=15, fixed words = 11008791
g = [('a', -6), ('b', -8), ('a', -5), ('b', 4), ('a', 9), ('b', -7), ('a', -10)] n=15, fixed words = 11058039
g = [('b', 2), ('a', 8), ('b', -7), ('a', -9), ('b', -10), ('a', 5), ('b', 9)] n=15, fixed words = 11004417
g = [('b', 7), ('a', 2), ('b', -10), ('a', 4), ('b', -8), ('a', 2), ('b', -7)] n=15, fixed words = 11489040
g = [('a', -8), ('b', 4), ('a', 2), ('b', 5), ('a', -8), ('b', -6), ('a', 4)] n=15, fixed words = 11058039
g = [('a', -6), ('b', -1), ('a', 9), ('b', -7), ('a', -5), ('b', 6), ('a', -9)] n=15, fixed words = 9568503
g = [('a', -3), ('b', 6), ('a', 7), ('b', -3), ('a', -2), ('b', 6), ('a', -4)] n=15, fixed words = 11526462
g = [('b', 1), ('a', -1), ('b', 1), ('a', 2), ('b', -1), ('a', -4), ('b', 1)] n=15, fixed words = 10941075
