g = [('b', -8), ('a', -10), ('b', 9), ('a', 5), ('b', 3), ('a', 4), ('b', -3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 8), ('b', 10), ('a', -7), ('b', -9), ('a', 1), ('b', -8), ('a', 9)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -10), ('b', -1), ('a', 10), ('b', -4), ('a', -6), ('b', 1), ('a', -9)] n=100, fixed words = 75167060247753146906854778705725983107692492140
g = [('a', 9), ('b', -9), ('a', 9), ('b', 8), ('a', 5), ('b', 10), ('a', -3)] n=100, fixed words = 103512424318183264141416989016887043328037345259
g = [('a', 1), ('b', 6), ('a', 7), ('b', -3), ('a', -2), ('b', -3), ('a', -9)] n=100, fixed words = 289696204284295827173073080234956288505444524122
g = [('b', 1), ('a', -8), ('b', 8), ('a', 10), ('b', 2), ('a', 2), ('b', 10)] n=100, fixed words = 68084754238567471014461238331613628255065097354
g = [('a', -8), ('b', -10), ('a', 9), ('b', 3), ('a', 1), ('b', -7), ('a', -4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -3), ('a', -7), ('b', -10), ('a', -1), ('b', -2), ('a', 10), ('b', -7)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -6), ('a', -1), ('b', 3), ('a', -6), ('b', -2), ('a', -1), ('b', 3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -8), ('a', 7), ('b', 2), ('a', -3), ('b', -2), ('a', 4), ('b', 6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -8), ('a', -9), ('b', -6), ('a', 1), ('b', 5), ('a', -7), ('b', 2)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('a', 1), ('b', 9), ('a', -3), ('b', 4), ('a', 8), ('b', 7), ('a', 6)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('b', -1), ('a', 3), ('b', -4), ('a', -8), ('b', -4), ('a', -9), ('b', 5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -4), ('b', 7), ('a', 3), ('b', -2), ('a', 8), ('b', -9), ('a', 8)] n=100, fixed words = 76240442918624033564564065723962940551038280783
g = [('b', -4), ('a', 8), ('b', 3), ('a', 8), ('b', 1), ('a', -4), ('b', 4)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('b', 1), ('a', -7), ('b', 5), ('a', -4), ('b', 2), ('a', 7), ('b', 6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -4), ('b', -10), ('a', 10), ('b', -1), ('a', -9), ('b', 8), ('a', -10)] n=100, fixed words = 71774462711922758298891956587648897685031552180
g = [('b', 9), ('a', 4), ('b', 6), ('a', 4), ('b', -9), ('a', -9), ('b', -1)] n=100, fixed words = 29763262633199482886345519360120838067631398155
