Fixed words of length 7 (count=2025):
w=1010220, g(w)=1010220
w=1010221, g(w)=1010221
w=1010222, g(w)=1010222
w=1011000, g(w)=1011000
w=1011001, g(w)=1011001
w=1011002, g(w)=1011002
w=1011010, g(w)=1011010
w=1011011, g(w)=1011011
w=1011012, g(w)=1011012
w=1011020, g(w)=1011020
w=1011021, g(w)=1011021
w=1011022, g(w)=1011022
w=1011100, g(w)=1011100
w=1011101, g(w)=1011101
w=1011102, g(w)=1011102
w=1011110, g(w)=1011110
w=1011111, g(w)=1011111
w=1011112, g(w)=1011112
w=1011120, g(w)=1011120
w=1011121, g(w)=1011121
w=1011122, g(w)=1011122
w=1011200, g(w)=1011200
w=1011201, g(w)=1011201
w=1011202, g(w)=1011202
w=1011210, g(w)=1011210
w=1011211, g(w)=1011211
w=1011212, g(w)=1011212
w=1011220, g(w)=1011220
w=1011221, g(w)=1011221
w=1011222, g(w)=1011222
w=1012000, g(w)=1012000
w=1012001, g(w)=1012001
w=1012002, g(w)=1012002
w=1012010, g(w)=1012010
w=1012011, g(w)=1012011
w=1012012, g(w)=1012012
w=1012020, g(w)=1012020
w=1012021, g(w)=1012021
w=1012022, g(w)=1012022
w=1012100, g(w)=1012100
w=1012101, g(w)=1012101
w=1012102, g(w)=1012102
w=1012110, g(w)=1012110
w=1012111, g(w)=1012111
w=1012112, g(w)=1012112
w=1012120, g(w)=1012120
w=1012121, g(w)=1012121
w=1012122, g(w)=1012122
w=1012200, g(w)=1012200
w=1012201, g(w)=1012201
w=1012202, g(w)=1012202
w=1012210, g(w)=1012210
w=1012211, g(w)=1012211
w=1012212, g(w)=1012212
w=1012220, g(w)=1012220
w=1012221, g(w)=1012221
w=1012222, g(w)=1012222
w=1020000, g(w)=1020000
w=1020001, g(w)=1020001
w=1020002, g(w)=1020002
w=1020010, g(w)=1020010
w=1020011, g(w)=1020011
w=1020012, g(w)=1020012
w=1020020, g(w)=1020020
w=1020021, g(w)=1020021
w=1020022, g(w)=1020022
w=1020100, g(w)=1020100
w=1020101, g(w)=1020101
w=1020102, g(w)=1020102
w=1020110, g(w)=1020110
w=1020111, g(w)=1020111
w=1020112, g(w)=1020112
w=1020120, g(w)=1020120
w=1020121, g(w)=1020121
w=1020122, g(w)=1020122
w=1020200, g(w)=1020200
w=1020201, g(w)=1020201
w=1020202, g(w)=1020202
w=1020210, g(w)=1020210
w=1020211, g(w)=1020211
w=1020212, g(w)=1020212
w=1020220, g(w)=1020220
w=1020221, g(w)=1020221
w=1020222, g(w)=1020222
w=1021000, g(w)=1021000
w=1021001, g(w)=1021001
w=1021002, g(w)=1021002
w=1021010, g(w)=1021010
w=1021011, g(w)=1021011
w=1021012, g(w)=1021012
w=1021020, g(w)=1021020
w=1021021, g(w)=1021021
w=1021022, g(w)=1021022
w=1021100, g(w)=1021100
w=1021101, g(w)=1021101
w=1021102, g(w)=1021102
w=1021110, g(w)=1021110
w=1021111, g(w)=1021111
w=1021112, g(w)=1021112
w=1021120, g(w)=1021120
w=1021121, g(w)=1021121
w=1021122, g(w)=1021122
w=1021200, g(w)=1021200
w=1021201, g(w)=1021201
w=1021202, g(w)=1021202
w=1021210, g(w)=1021210
w=1021211, g(w)=1021211
w=1021212, g(w)=1021212
w=1021220, g(w)=1021220
w=1021221, g(w)=1021221
w=1021222, g(w)=1021222
w=1022000, g(w)=1022000
w=1022001, g(w)=1022001
w=1022002, g(w)=1022002
