g = [('a', 3), ('b', -13), ('a', 5), ('b', 7), ('a', -12), ('b', 12), ('a', -2), ('b', 8), ('a', -6), ('b', -5), ('a', 8), ('b', 7), ('a', 10), ('b', -6), ('a', -13)] n=25, fixed words = 424690543179
g = [('b', -9), ('a', 14), ('b', 3), ('a', 8), ('b', -12), ('a', 7), ('b', 8), ('a', -8), ('b', 13), ('a', 6), ('b', 3), ('a', -10), ('b', -11), ('a', 15), ('b', 14)] n=25, fixed words = 569520063171
g = [('b', -3), ('a', -13), ('b', -11), ('a', 14), ('b', 7), ('a', 4), ('b', -9), ('a', -13), ('b', 3), ('a', 6), ('b', -15), ('a', -14), ('b', -14), ('a', 14), ('b', 15)] n=25, fixed words = 578697213888
g = [('a', -5), ('b', -6), ('a', 8), ('b', 9), ('a', 8), ('b', -8), ('a', -14), ('b', -15), ('a', 2), ('b', 6), ('a', -15), ('b', 12), ('a', -12), ('b', 11), ('a', -4)] n=25, fixed words = 576606395313
g = [('a', -6), ('b', -5), ('a', 12), ('b', -6), ('a', -8), ('b', 4), ('a', 10), ('b', 15), ('a', 4), ('b', -15), ('a', -5), ('b', 6), ('a', -8), ('b', 9), ('a', -4)] n=25, fixed words = 424690543179
g = [('b', 12), ('a', -12), ('b', 3), ('a', -8), ('b', -8), ('a', -3), ('b', 8), ('a', 13), ('b', -5), ('a', 10), ('b', 4), ('a', -5), ('b', -2), ('a', -7), ('b', -8)] n=25, fixed words = 526392385506
g = [('a', -15), ('b', 6), ('a', 2), ('b', -9), ('a', -3), ('b', 2), ('a', -13), ('b', 2), ('a', -5), ('b', 14), ('a', 9), ('b', 2), ('a', -11), ('b', -7), ('a', 5)] n=25, fixed words = 424690543179
g = [('b', 12), ('a', 7), ('b', 9), ('a', 8), ('b', 10), ('a', 14), ('b', -11), ('a', 8), ('b', -4), ('a', -4), ('b', 4), ('a', -13), ('b', 2), ('a', 10), ('b', 7)] n=25, fixed words = 536762544237
g = [('b', -12), ('a', 8), ('b', 5), ('a', 15), ('b', 6), ('a', -6), ('b', 10), ('a', 11), ('b', 4), ('a', 2), ('b', -3), ('a', 4), ('b', -7), ('a', -10), ('b', -2)] n=25, fixed words = 535370814954
g = [('b', -4), ('a', -3), ('b', 14), ('a', 10), ('b', 9), ('a', -1), ('b', -8), ('a', -3), ('b', -11), ('a', 7), ('b', 10), ('a', 7), ('b', -12), ('a', 13), ('b', 15)] n=25, fixed words = 535387147470
g = [('a', 11), ('b', 9), ('a', 15), ('b', -6), ('a', 4), ('b', -4), ('a', -13), ('b', 8), ('a', 9), ('b', -5), ('a', 3), ('b', -10), ('a', -12), ('b', -10), ('a', 7)] n=25, fixed words = 703337137416
g = [('a', -3), ('b', 10), ('a', 5), ('b', 10), ('a', -14), ('b', -4), ('a', 2), ('b', -7), ('a', 4), ('b', -11), ('a', 4), ('b', -13), ('a', 12), ('b', -1), ('a', -14)] n=25, fixed words = 424690543179
g = [('b', -9), ('a', -8), ('b', -13), ('a', 12), ('b', 7), ('a', -10), ('b', 10), ('a', 11), ('b', 1), ('a', 10), ('b', -9), ('a', 9), ('b', -12), ('a', 14), ('b', -4)] n=25, fixed words = 424690543179
g = [('a', 6), ('b', 12), ('a', -13), ('b', 9), ('a', 7), ('b', 12), ('a', -11), ('b', -1), ('a', 7), ('b', -13), ('a', 2), ('b', -11), ('a', -11), ('b', 13), ('a', 1)] n=25, fixed words = 662254606314
g = [('b', -3), ('a', 6), ('b', 1), ('a', 8), ('b', 6), ('a', 3), ('b', 9), ('a', -6), ('b', -3), ('a', -1), ('b', -6), ('a', 10), ('b', 3), ('a', 15), ('b', 1)] n=25, fixed words = 424690543179
g = [('a', -8), ('b', 6), ('a', 3), ('b', 4), ('a', -2), ('b', -6), ('a', -5), ('b', -14), ('a', -3), ('b', 10), ('a', 4), ('b', 8), ('a', 4), ('b', 6), ('a', -13)] n=25, fixed words = 424690543179
g = [('a', 14), ('b', 15), ('a', 1), ('b', -6), ('a', -6), ('b', 8), ('a', 5), ('b', -1), ('a', 2), ('b', 5), ('a', -1), ('b', 7), ('a', -12), ('b', -3), ('a', 11)] n=25, fixed words = 424690543179
g = [('b', 6), ('a', 13), ('b', 14), ('a', 3), ('b', 2), ('a', 8), ('b', -2), ('a', -10), ('b', -6), ('a', -15), ('b', 10), ('a', 11), ('b', 5), ('a', -13), ('b', 7)] n=25, fixed words = 702072544761
g = [('b', -5), ('a', 7), ('b', 14), ('a', 2), ('b', -12), ('a', 3), ('b', 10), ('a', 12), ('b', -4), ('a', -8), ('b', 6), ('a', -5), ('b', -9), ('a', -12), ('b', -5)] n=25, fixed words = 424690543179
g = [('b', 4), ('a', 15), ('b', 7), ('a', 7), ('b', 13), ('a', 14), ('b', -1), ('a', -2), ('b', 7), ('a', -3), ('b', 12), ('a', -7), ('b', -7), ('a', 5), ('b', 1)] n=25, fixed words = 568848110904
g = [('a', 1), ('b', -14), ('a', -3), ('b', 3), ('a', 1), ('b', 11), ('a', 1), ('b', -3), ('a', 15), ('b', 5), ('a', -4), ('b', -2), ('a', -8), ('b', -2), ('a', 1)] n=25, fixed words = 424690543179
g = [('a', 12), ('b', 15), ('a', 5), ('b', -13), ('a', -15), ('b', -14), ('a', 1), ('b', 4), ('a', -12), ('b', -2), ('a', 1), ('b', 14), ('a', 5), ('b', -1), ('a', 8)] n=25, fixed words = 526392385506
